2017-05-04 19:41:36.376547,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 19:41:36.377642,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
2017-05-04 19:41:36.378458,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 19:41:36.379341,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 19:41:36.380210,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 19:41:36.381013,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 19:41:36.381826,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 19:41:36.382627,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 19:41:36.383459,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 19:41:36.384210,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 19:41:36.385046,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 19:41:36.385953,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 19:41:36.386786,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 19:41:36.387507,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 19:41:36.388246,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:08.361938,1,On-Site Client Visit,2017-04-27 00:00:00,2017-05-01 00:00:00,"4 days, 0:00:00",1
2017-05-04 20:14:08.366502,2,Standup Meeting,2017-04-28 10:00:00-04:00,2017-04-28 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:08.367815,3,Sprint Planning,2017-04-28 10:30:00-04:00,2017-04-28 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:08.368861,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 20:14:08.369881,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:08.370948,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 20:14:08.371874,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:08.372619,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:08.373390,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 20:14:08.374075,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 20:14:08.374770,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 20:14:08.375480,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:08.376210,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:08.376847,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:08.377433,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:08.377968,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 20:14:08.378492,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 20:14:08.379059,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:50.276134,1,On-Site Client Visit,2017-04-27 00:00:00,2017-05-01 00:00:00,"4 days, 0:00:00",1
2017-05-04 20:14:50.280703,2,Standup Meeting,2017-04-28 10:00:00-04:00,2017-04-28 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:50.281907,3,Sprint Planning,2017-04-28 10:30:00-04:00,2017-04-28 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:50.283072,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 20:14:50.284255,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:50.285111,6,Regression Tesing,2017-05-01 10:00:00-04:00,2017-05-01 15:30:00-04:00,5:30:00,1
2017-05-04 20:14:50.285969,7,Standup Meeting,2017-05-01 10:00:00-04:00,2017-05-01 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:50.286754,8,Sprint Planning,2017-05-01 10:30:00-04:00,2017-05-01 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:50.287553,9,Call w/Subashini Sridhar,2017-05-01 11:30:00-04:00,2017-05-01 11:55:00-04:00,0:25:00,4
2017-05-04 20:14:50.288343,10,Short Call With Client,2017-05-01 12:30:00-04:00,2017-05-01 12:45:00-04:00,0:15:00,1
2017-05-04 20:14:50.289138,11,Business Lunch,2017-05-01 12:30:00-04:00,2017-05-01 13:30:00-04:00,1:00:00,1
2017-05-04 20:14:50.289911,12,UTSA to Lintz,2017-05-02 09:15:00-04:00,2017-05-02 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:50.290612,13,Standup Meeting,2017-05-02 10:00:00-04:00,2017-05-02 10:10:00-04:00,0:10:00,1
2017-05-04 20:14:50.291357,14,Sprint Planning,2017-05-02 10:30:00-04:00,2017-05-02 11:00:00-04:00,0:30:00,1
2017-05-04 20:14:50.292142,15,UTSA to Lintz,2017-05-03 09:15:00-04:00,2017-05-03 09:20:00-04:00,0:05:00,1
2017-05-04 20:14:50.292815,16,Talk about Salesforce as a dev team,2017-05-03 11:00:00-04:00,2017-05-03 11:15:00-04:00,0:15:00,5
2017-05-04 20:14:50.293418,17,Prod deployment meeting,2017-05-04 09:15:00-04:00,2017-05-04 09:40:00-04:00,0:25:00,5
2017-05-04 20:14:50.293972,18,UTSA to Lintz,2017-05-04 09:15:00-04:00,2017-05-04 09:20:00-04:00,0:05:00,1
2017-05-04 20:16:00.791611,1,On-Site Client Visit,2017-04-27 00:00:00,2017-05-01 00:00:00,"4 days, 0:00:00",1
2017-05-04 20:16:00.796241,2,Standup Meeting,2017-04-28 10:00:00-04:00,2017-04-28 10:10:00-04:00,0:10:00,1
2017-05-04 20:16:00.797365,3,Sprint Planning,2017-04-28 10:30:00-04:00,2017-04-28 11:00:00-04:00,0:30:00,1
2017-05-04 20:16:00.798164,4,Dev Show and Tell,2017-04-28 12:00:00-04:00,2017-04-28 13:00:00-04:00,1:00:00,1
2017-05-04 20:16:00.798973,5,UTSA to Lintz,2017-05-01 09:15:00-04:00,2017-05-01 09:20:00-04:00,0:05:00,1
